Agency,Commodity,Supplier,Ordered Date,PO_#,PO Amount,OBJECTID
COUNCIL OF THE DISTRICT OF COLUMBIA,"9660722:PRINTING OF BUSINESS CARDS, ONE COLOR, WHITE SMOOTH FINISH PAPER","SENODA, INC.",22-Dec-14,PO513270,65,16712
OFFICE ON AGING,"9852700:Copy Machines, Digital Type, Rental or Lease",XEROX CORPORATION,4-Dec-14,PO511969,11003.49,16713
OFFICE OF PEOPLES COUNSEL,"3453269:REFILLS, FIRST AID KIT",AMERICAN FIRST AID,6-Oct-14,PO506274,3000,16714
DEPARTMENT OF PUBLIC WORKS,"2878000:Testing Equipment and Systems, Electronic Meter",ENVIROTEST SYSTEMS CORPORATION,24-Oct-14,PO508364,95500,16715
DISTRICT DEPARTMENT OF THE ENVIRONMENT,9634800:Membership Dues,NATIONAL ASSOC OF ST ENGY OFF,15-Oct-14,PO507297,4549.43,16716
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,RSC ELECTRICAL & MECHANICAL CO,8-Jan-15,PO513802,750000,16717
OFFICE OF THE CHIEF FINANCIAL OFFICER,9180600:Administrative Consulting,"Xerox State & Local Solutions, Inc.",7-Jan-15,PO507207-V2,228401.25,16718
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9155848:LABELING AND MAILING SERVICES, INCLUDING AFFIXING LABELS TO SELF-MAILERS OR ENVELOPES AND MAILING (LABELS AND ENVELOPES TO BE FURNISHED BY THE AGENCY/DEPT.) COST OF POSTAGE TO BE PAID DIRECT TO THE POST OFFICE BY AGENCY",DIGI DOCS INC DOCUMENT MGERS,28-Oct-14,PO503263-V2,0,16719
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9856075:SCALES, POSTAGE METER, RENTAL OR LEASE",UNITED STATES POSTAL SERVICE,16-Oct-14,PO507436,30000,16720
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",DOCUMENT SYSTEMS INC,24-Oct-14,PO508273,64490,16721
DEPARTMENT OF GENERAL SERVICES,9063800:General Construction - Architectural,Studio27 Architecture/Leo A Da,30-Oct-14,PO508909,78793,16722
OFFICE OF THE CHIEF FINANCIAL OFFICER,"6458053:STATIONERY, OFFICE",LASER ART INC,23-Oct-14,PO486820-V3,0,16723
D.C. NATIONAL GUARD,"2077983:TONER CARTRIDGES, LASER PRINTER, REMANUFACTURED",LASER ART INC,11-Dec-14,PO512502,447,16724
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",23-Feb-15,PO515959,245.2,16725
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9189500:Telecommunications Consulting,"EC America, INC.",3-Feb-15,PO515049,6019.2,16726
OFFICE OF THE ATTORNEY GENERAL,"9617252:TRANSCRIPTION SERVICES, MEDICAL, PROFESSIONAL",SUPERIOR COURT OF DC,22-Jan-15,PO514048-V2,164.8,16727
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,6-Oct-14,PO489312-V3,493,16728
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9625800:Professional Services (Not Otherwise Classified),MAXIMUS INC,24-Oct-14,PO485472-V2,972720.58,16729
DEPARTMENT OF BEHAVIORAL HEALTH,"3653026:BUFFER, FLOOR",NATIONAL SUPPLY COMPANY,1-Oct-14,PO505885,5000,16730
DEPARTMENT OF BEHAVIORAL HEALTH,9482800:Dental Services,Dubose Prosthodontics,3-Nov-14,PO509229,3000,16731
DEPARTMENT OF YOUTH REHABILITATION SVCS,9187400:Legal Consulting,"OLENDER REPORTING, INC.",29-Oct-14,PO508827,1062,16732
OFFICE OF ADMINISTRATIVE HEARINGS,"9243533:TRAINING, MAINFRAME COMPUTER HARDWARE","SUSTAIN TECHNOLOGIES, INC",2-Oct-14,PO506033,6900,16733
DEPARTMENT OF PARKS AND RECREATION,6007240:FAX MACHINE/COPIER/SCANNER/COLOR PRINTER COMBINATION,"MVS, Inc.",13-Nov-14,PO510197,5474.7,16734
DC PUBLIC LIBRARY,"9981800:Books, All Types (Library, School, etc.)",MULTI CULTURAL BOOKS&VIDEOS,29-Jan-15,PO505739-V2,15200,16735
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3753078:SNACKS, BAKERY, VEND PACK",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,2-Mar-15,PO516337,30.98,16736
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9665530:NUMBERING PAMPHLETS, BOOKLETS, BOOKS, AND OTHER BOUND MATERIAL COMPOSED OF MULTIPLE PAGES",RIVERSIDE PUBLISHING,19-Dec-14,PO513203,152.75,16737
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6208116:PEN REFILLS, FOR BALL POINT PENS",AMERICAN EXPRESS COMPANY,11-Dec-14,PO512480,3700,16738
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",GREENWOOD PUBLISHING GROUP INC,17-Dec-14,PO512951,236,16739
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2043735:TAPE DRIVES, EXTERNAL, COMPUTER, TO INCLUDE BACKUP AND OPERATION SOFTWARE, CONTROLLER CARDS AND ALL ADDITIONAL HARDWARE NECESSARY FOR INSTALLATION AND OPERATION",APPLE COMPUTER INC,19-Dec-14,PO513188,89.95,16740
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8309500:Recycled Tanks, Accessories and Supplies","ABERNETHY STICKS, INC",19-Dec-14,PO513198,75,16741
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY","CAPSTONE PRESS, INC",29-Dec-14,PO513534,18.49,16742
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0504045:MISCELLANEOUS DRAWING AND PAINTING SUPPLIES,"SKY,LLC DBA/US-OFFICE SOLUTION",16-Jan-15,PO514303,53.8,16743
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851634:CLEANER, GENERAL PURPOSE, CONCENTRATE",General Merchandise Supplies,11-Dec-14,PO512471,115.5,16744
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2072300:Carts, Computer",AMERICAN EXPRESS COMPANY,12-Feb-15,PO515565,1289.99,16745
DEPARTMENT OF HUMAN SERVICES,9523900:Employment Generating Activities,MAXIMUS INC,3-Mar-15,PO516356,1845706.64,16746
DEPARTMENT OF HUMAN SERVICES,9183200:Consulting Services (Not Otherwise Classified),"OST, Inc.",3-Dec-14,PO510038-V2,4817.6,16747
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS","Curriculum Associates, LLC",18-Nov-14,PO510667,288.15,16748
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6350700:Cleaner and Conditioner, Paint Brush",SCHOOL SPECIALTY,12-Feb-15,PO515560,29.76,16749
DEPARTMENT OF MOTOR VEHICLES,6006240:FOLDING MACHINES (BRAND LISTED OR EQUAL),"MailFinance, Inc.",18-Feb-15,PO508103-V2,1629.33,16750
DEPARTMENT OF PUBLIC WORKS,"2045340:MICROCOMPUTERS, DESKTOP",Dell Computer Corp.,9-Feb-15,PO515320,2404.59,16751
CHILD AND FAMILY SERVICES AGENCY,"9362500:Electrical Equipment (Except Cable and Wires, and Lighting Fixtures) Maintenance and Repair",ADVANCED NETWORK CONSULTING,9-Oct-14,PO506783,625,16752
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",KMC INC,24-Oct-14,PO485497-V3,44480.8,16753
LOTTERY & CHARITABLE GAMES CONTROL BOARD,9667600:Print-On-Demand Printing Services (Including Print and Distribute Services),GTECH CORPORATION,2-Dec-14,PO511796,980000,16754
DEPT OF SMALL & LOCAL BUSINESS DEVELOPMT,9614400:Industrial Development and Planning Services,"H STREET MAIN STREET,INC.",1-Oct-14,PO505334,100000,16755
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","The Pittman Group, Inc DBA VANTIX",13-Nov-14,PO508875-V2,5460.35,16756
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,22-Oct-14,PO508033,45,16757
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"Planet Depos, LLC",4-Nov-14,PO509322,330.4,16758
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"Planet Depos, LLC",11-Dec-14,PO512445,11.5,16759
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"Planet Depos, LLC",4-Mar-15,PO516441,424.8,16760
DEPARTMENT OF EMPLOYMENT SERVICES,9615600:Program/Project Development and Management Services,Opportunities Industrial Center,28-Jan-15,PO514783,14580,16761
DEPARTMENT OF BEHAVIORAL HEALTH,9103957:JANITORIAL/CUSTODIAL SERVICES,CLEAN TEAM JANITORIAL SVCS,1-Oct-14,PO505905,28644,16762
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Etis Corporation,12-Nov-14,PO510131,62357.76,16763
DEPARTMENT OF BEHAVIORAL HEALTH,"2077237:CARTRIDGES, INK, FOR HEWLETT PACKARD PORTABLE DESKJET PRINTER",SUPPLY ROOM COMPANIES,1-Oct-14,PO505767,15000,16764
DEPARTMENT OF BEHAVIORAL HEALTH,8856600:Fluoride and Other Drinking Water Additives,NESTLE WATERS AMERICA INC.,1-Oct-14,PO505264,792,16765
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),MB STAFFING SERVICES LLC,30-Oct-14,PO508878,20000,16766
DEPARTMENT OF CORRECTIONS,9183800:Education and Training Consulting,The Hope Foundation Reentry Network Inc.,24-Feb-15,PO516004,13125,16767
DEPARTMENT OF TRANSPORTATION,"2000000:CLOTHING, ATHLETIC, CASUAL, DRESS, UNIFORM, WEATHER RELATED, WORK",MORGANS INC,7-Jan-15,PO511061-V2,34478.84,16768
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Jonathan B. Tucker,18-Nov-14,PO510681,14000,16769
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",PAN AMERICAN SYMPHONY,31-Oct-14,PO509146,18000,16770
DEPARTMENT OF HEALTH,9634800:Membership Dues,COUNCIL OF STATE & TERRITORIAL,4-Mar-15,PO516487,1100,16771
DEPARTMENT ON DISABILITY SERVICES,"9485550:MEDICAL SERVICES, PHYSICAL EXAMINATION",LIBERTY HEALTHCARE CORP.,2-Feb-15,PO509458-V2,23979.55,16772
FIRE AND EMERGENCY MEDICAL SERVICES,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",OPEN INCORPORATED,5-Dec-14,PO512107,31109.99,16773
STATE SUPERINTENDENT OF EDUCATION (OSSE),"2045369:MICROCOMPUTER, TOWERBASED",Dell Computer Corp.,26-Nov-14,PO511448,158.39,16774
FIRE AND EMERGENCY MEDICAL SERVICES,9392136:MAINTENANCE OF COMPUTER PRINTERS,"MVS, Inc.",27-Oct-14,PO508479,9240,16775
OFFICE OF UNIFIED COMMUNICATIONS,"9203130:COMPUTER HARDWARE INSTALLATION SERVICES, MAINFRAME","MOTOROLA, INC.",31-Dec-14,PO513648,260816,16776
OFFICE OF UNIFIED COMMUNICATIONS,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",9-Dec-14,PO507521-V2,105391,16777
DC PUBLIC LIBRARY,"6800417:AMMUNITION, TRAINING",THE GUN SHOP,27-Feb-15,PO516237,535.5,16778
DC PUBLIC LIBRARY,9150300:Advertising/Public Relations,THE WASHINGTON INFORMER,4-Mar-15,PO509493-V2,6975,16779
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,AMERICAN READING COMPANY,24-Nov-14,PO511159,1000,16780
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151400:Boards: Calendar, Schedule, Dispatch, Manning, etc.",AMERICAN EXPRESS COMPANY,24-Dec-14,PO513352,3300,16781
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",BAKER & TAYLOR INC,13-Jan-15,PO513990,10.33,16782
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2077984:TONER CARTRIDGES, LASER JET PRINTER, REMANUFACTURED",MDM Office Systems DBA Standard Office Supply,13-Nov-14,PO510179,50.36,16783
DEPARTMENT OF HUMAN SERVICES,9852691:RENTAL OF XEROX COPY MACHINE PARTS AND ACCESSORIES (XEROX OR EQUAL),XEROX CORPORATION,8-Dec-14,PO512235,6360.84,16784
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",AMERICAN READING COMPANY,29-Dec-14,PO513533,28.8,16785
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",General Merchandise Supplies,20-Oct-14,PO507700,484.66,16786
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,"ROMERO EDUCATION SERVICES, LLC",25-Nov-14,PO511253,10400,16787
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),THE PROPHET CORPORATION,6-Feb-15,PO515278,434.4,16788
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,SHEENA FOGLE,8-Jan-15,PO513819,800,16789
OFFICE OF ADMINISTRATIVE HEARINGS,9625800:Professional Services (Not Otherwise Classified),MULTICULTURAL COMMUNITY SERVIC,3-Oct-14,PO485826-V2,19211,16790
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),Collaborative Communications,3-Nov-14,PO508377,662278.3,16791
DEPARTMENT OF HUMAN SERVICES,"9621700:Bus and Taxi Services, Limousines and Vans (Including Operations, Management, and Terminal Services)",TRAVELERS AID INTERNATIONAL IN,19-Nov-14,PO510857,30000,16792
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MUSICIAN INSTRUMENTS, PROFESSIONAL GRADE",WASHINGTON MUSIC CENTER,24-Nov-14,PO511131,24.5,16793
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9189000:Strategic Technology Planning and Consulting Services,"EDUCATIONAL NETWORKS, INC.",12-Nov-14,PO510063,1396.54,16794
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",Live It Learn It,16-Dec-14,PO512735,14000,16795
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4756711:APPLICATORS, WOODEN",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,18-Nov-14,PO510713,9.42,16796
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),COPIA COACHING & CONSULTING,29-Oct-14,PO508759,27375,16797
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2002523:BLOUSES, WOMENS",MORGANS INC,24-Dec-14,PO513371,508.5,16798
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2001376:TEE SHIRTS, YOUTH, CREW NECK",General Merchandise Supplies,13-Feb-15,PO515683,2813,16799
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",MNB TRANSPORTATION SERVICE LLC,10-Feb-15,PO515459,800,16800
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,School Readiness Consulting,29-Dec-14,PO513484,18000,16801
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6157361:PADS, POST-IT NOTE, 100% RECYCLED, FOR USE AS REFILLS FOR THE POP-UP TYPE DISPENSER",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,8-Dec-14,PO512245,54.4,16802
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",AMERICAN READING COMPANY,29-Dec-14,PO513533,28.8,16803
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",General Merchandise Supplies,20-Oct-14,PO507700,107.2,16804
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,4.87,16805
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN","LABYRINTH GAMES & PUZZLES, LLC",10-Nov-14,PO510010,103.92,16806
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",HOUGHTON MIFFLIN CO INC,12-Dec-14,PO512572,133.32,16807
METROPOLITAN POLICE DEPARTMENT,"9989400:Vehicles, Including Automobiles, Trucks, Trailers, Vans, Motor Homes, Motorcycles and Scooters, etc. (See 998-20 for Buses)","ETI Lighting, Inc.",15-Jan-15,PO514220,10082.4,16808
OFFICE OF CABLE TV,9150900:Audio/Video Production Services Complete,"BROADVIEW SOFTWARE, INC.",22-Oct-14,PO507994,23751,16809
DEPARTMENT OF FORENSICS SCIENCES,"9385600:Hospital and Medical Equipment, General, Maintenance and Repair",BIOMERIEUX INC,23-Dec-14,PO513311,1760,16810
OFFICE OF THE INSPECTOR GENERAL,"6007000:Machine Repair Tools, Office",LASER ART INC,30-Oct-14,PO508944,5640,16811
OFFICE OF THE D.C. AUDITOR,"6152909:CORRECTION FLUID, POCKET PEN, FOR INK OR TYPEWRITER",American Business Supplies LLC,14-Nov-14,PO510326,1272.56,16812
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,South Capitol Revitalization,4-Feb-15,PO515089,970000,16813
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046447:HUBS, SWITCHES, AND CONVERTERS, COMPUTER","Networking For Future, Inc.",24-Dec-14,PO513399,9280,16814
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",LEVY RAY & SHOUP INC,24-Oct-14,PO508401,10048,16815
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"QBS, Inc.",2-Oct-14,PO505981,2400,16816
DEPARTMENT OF BEHAVIORAL HEALTH,"9626941:PERSONNEL SERVICES, TEMPORARY",Ross Professional Services,22-Jan-15,PO506069-V3,13208.56,16817
DEPARTMENT OF BEHAVIORAL HEALTH,9183800:Education and Training Consulting,"Trilogy Integrated Resources,",9-Dec-14,PO511244-V2,40002,16818
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Ad Astra Inc.,6-Nov-14,PO509617,17940,16819
DEPARTMENT OF CORRECTIONS,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",14-Jan-15,PO510116-V3,149426.4,16820
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",PEPCO INC,25-Nov-14,PO511301,8056000,16821
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",IDEAL ELECTRIC SUPPLY,8-Dec-14,PO489151-V2,150000,16822
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),MEDSTAR DIABETES/WA HSP. FDTN.,30-Dec-14,PO505593-V2,98092.81,16823
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",First Metropolitan Community,5-Nov-14,PO509538,500,16824
FIRE AND EMERGENCY MEDICAL SERVICES,9986700:Medical and Dental Equipment and Supplies,Total Healthcare Solutions,29-Jan-15,PO514869,2193,16825
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),weinfeld education group,9-Dec-14,PO512255,50000,16826
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854755:PADS, EASEL PAPER",MDM Office Systems DBA Standard Office Supply,23-Feb-15,PO515989,104.96,16827
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9241900:Educational Research Services,WILDFIRE CONTACT LLC,24-Feb-15,PO516024,6000,16828
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,43.99,16829
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7257858:RADIOS, BASE STATION, TWO WAY, DESK TOP",TELTRONIC INC,10-Feb-15,PO515359,0,16830
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9180600:Administrative Consulting,THE BUREAU OF LECTURES & CONCE,20-Jan-15,PO514367,690,16831
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PAINTS, SCHOOL ART",SCHOOL SPECIALTY,4-Dec-14,PO511998,167.2,16832
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",BAKER & TAYLOR INC,13-Jan-15,PO513990,9.24,16833
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008570:SHIRTS, FATIGUE, MENS AND WOMENS, POLY/COTTON, PER MICHIGAN STATE POLICE SPECS",MORGANS INC,13-Jan-15,PO513974,19.9,16834
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6457135:PAPER, POSTER, ROLL",DEMCO INC,17-Dec-14,PO512963,5.66,16835
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",AMERICAN READING COMPANY,29-Dec-14,PO513533,28.8,16836
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,23.96,16837
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,21.29,16838
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,79,16839
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",LAKESHORE LEARNING MATERIALS,24-Nov-14,PO511156,113.98,16840
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",LAKESHORE LEARNING MATERIALS,24-Nov-14,PO511156,47.49,16841
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","SCHOLASTIC, INC.",23-Dec-14,PO513348,0,16842
OFFICE OF CABLE TV,"8405842:HARDWARE AND ACCESSORIES, TELEVISION",CORPORATE SYSTEMS RESOURCES,16-Dec-14,PO512829,0,16843
COUNCIL OF THE DISTRICT OF COLUMBIA,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",FILNET INC,27-Oct-14,PO508468,1320,16844
OFFICE OF THE CHIEF MEDICAL EXAMINER,"2089415:SOFTWARE, MICROCOMPUTER, FORMS, APPLE/MACINTOSH COMPATIBLE, LATEST RELEASE OR VERSION LISTED","Vertiq Software, LLC",8-Dec-14,PO512179,12955,16845
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2084350:SOFTWARE, MICROCOMPUTER, EDUCATIONAL, LITERATURE, IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED","Curriculum Associates, LLC",4-Dec-14,PO512000,339,16846
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2207245:INDICATORS, TEMPERATURE",MEDCO INC,24-Dec-14,PO513367,29.95,16847
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2072300:Carts, Computer",LENOVA (USA) INC,8-Dec-14,PO512216,1550,16848
DEPARTMENT OF HUMAN SERVICES,9523700:Emergency Shelter,THE COMMUNITY PARTNERSHIP\HOME,1-Dec-14,PO511668,43588.03,16849
DEPARTMENT OF HUMAN SERVICES,9487451:MEDICAL REVIEW SERVICES,MARY ALICE JOHNSON CROCKETT,7-Nov-14,PO509932,19000,16850
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8056200:Physical Education Equipment, Adaptive: Body Alignment Wedges, Mobile Mats, Stimulation Boards, Straddle Seats, Vestibular Boards, etc.",BSN SPORTS,10-Feb-15,PO515355,4.44,16851
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",MNB TRANSPORTATION SERVICE LLC,13-Feb-15,PO515699,1275,16852
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7858500:Reading Programs, Reading Aids, Accelerators, and Calculators",AMERICAN READING COMPANY,16-Dec-14,PO512852,1247.5,16853
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,SCHOOL SPECIALTY,16-Jan-15,PO514253,22,16854
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9625800:Professional Services (Not Otherwise Classified),"MENTORING MINDS, L.P",26-Feb-15,PO516161,278,16855
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,5.88,16856
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)","MAKERBOT INDUSTRIES, LLC",10-Feb-15,PO515370,43.2,16857
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9628600:Transportation of Goods and other Freight Services,"SCHOLASTIC, INC.",24-Nov-14,PO511203,31.17,16858
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008535:COVERALLS, FOR SAFETY PATROL, POLYESTER/COTTON, ORANGE W/REFLECTIVE TAPE",VARSITY SPIRIT FASHIONS,29-Dec-14,PO513507,210,16859
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",WASH METRO AREA TRANSIT AUTH,19-Dec-14,PO513190,12000,16860
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6101600:Carbon Paper, Register Machines",AMERICAN EXPRESS COMPANY,3-Feb-15,PO515001,1043.64,16861
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BINDERS, RECYCLED, 3 RING, LOOSE LEAF, POLYETHYLENE FLEXIBLE COVER FOR 11 IN. X 8-1/2 IN. SHEETS,. AVAILABLE IN ROYAL BLUE, WHITE, BLACK, GREEN, AND RED",MDM Office Systems DBA Standard Office Supply,29-Oct-14,PO508749,762.4,16862
