Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
RICH'S DAILY GRINDZ & SHAVE ICE CO. (COMMISSARY),SHEILA E. TURNER SOUZA,(808)627-1200,15176,"SOUTH BERETANIA STREET
HONOLULU, HAWAII 96814
(21.303895186905667, -157.8493966033946)",SOUTH BERETANIA STREET,   ,HONOLULU,HAWAII,96814,"MILILANI, HAWAII 96789
(21.458460000228968, -158.010159999784)",,   ,MILILANI,HAWAII,96789,,894689,15176,Open,137 New and Renewal 3,Category 3,01/10/2012 12:00:00 AM,2,4,11,106,01/10/2014 12:00:00 AM
DINERS WAIPAHU,"DINERS WAIPAHU, INC.",(808)222-5699,15178,"FARRINGTON HIGHWAY
WAIPAHU, HAWAII 96797
(21.39596077521469, -157.98406389742595)",FARRINGTON HIGHWAY ,A,WAIPAHU,HAWAII,96797,"FARRINGTON HIGHWAY
WAIPAHU, HAWAII 96797
(21.39596077521469, -157.98406389742595)",FARRINGTON HIGHWAY,A,WAIPAHU,HAWAII,96797,,,15178,Open,137 New and Renewal 1,Category 1,01/10/2012 12:00:00 AM,9,4,19,3,08/10/2013 12:00:00 AM
ADMIRALS CLUB / AMERICAN AIRLINES,AMR CORP. / AMERICAN AIRLINES,(808)220-0837,15179,"RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.337712389005517, -157.91834469135173)",RODGERS BOULEVARD ,   ,HONOLULU,HAWAII,96819,"RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.337712389005517, -157.91834469135173)",RODGERS BOULEVARD ,36,HONOLULU,HAWAII,96819,,,15179,Open,137 New and Renewal 3,Category 3,01/09/2012 12:00:00 AM,1,1,3,1,01/09/2014 12:00:00 AM
CAMILLE'S ON WHEELS COMMISSARY,"CAMILLE KOMINE, LLC",(808)282-1740,15180,"AULIKE STREET
KAILUA, HAWAII 96734
(21.395426034503497, -157.7422220366044)",AULIKE STREET ,   ,KAILUA,HAWAII,96734,"PUA ALOWALO STREET
KANEOHE, HAWAII 96744
(21.408009266785463, -157.79768653628548)",PUA ALOWALO STREET,C   ,KANEOHE,HAWAII,96744,,,15180,Open,137 New and Renewal 3,Category 3,01/10/2012 12:00:00 AM,4,3,55,30,01/10/2014 12:00:00 AM
"EAGLE'S MINIMART, LLC","EAGLE'S MINIMART, LLC",(808)699-0078,15181,"GULICK AVENUE
HONOLULU, HAWAII 96819
(21.34213736428819, -157.86777789566838)",GULICK AVENUE ,   ,HONOLULU,HAWAII,96819,"GULICK AVENUE
HONOLULU, HAWAII 96819
(21.34213736428819, -157.86777789566838)",GULICK AVENUE ,   ,HONOLULU,HAWAII,96819,,,15181,Open,137 New and Renewal 2,Category 2,01/09/2012 12:00:00 AM,1,3,7,60,01/09/2014 12:00:00 AM
MAGOO'S PIZZA (PJZ 069),"KUHIO BLUE WATER SHRIMP, INC.",(808)699-8850,15182,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,   ,HONOLULU,HAWAII,96815,"HONOLULU, HAWAII 96824
(21.27862999997467, -157.75524000002585)",,   ,HONOLULU,HAWAII,96824,,240100,15182,Open,137 New and Renewal 3,Category 3,01/09/2012 12:00:00 AM,3,1,30,1,08/09/2013 12:00:00 AM
PARADISE SHRIMP & BURGER (NVN 716),CURTIS HONG,(808)330-2541,15183,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,   ,HONOLULU,HAWAII,96815,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,   ,HONOLULU,HAWAII,96815,,,15183,Open,137 New and Renewal 3,Category 3,01/09/2012 12:00:00 AM,3,1,30,1,08/21/2013 12:00:00 AM
NICOS,"NICOS, LLC",(808)540-1377,15184,"NORTH NIMITZ HIGHWAY
HONOLULU, HAWAII 96817
(21.312482220372033, -157.86522831771532)",NORTH NIMITZ HIGHWAY,   ,HONOLULU,HAWAII,96817,"NORTH NIMITZ HIGHWAY
HONOLULU, HAWAII 96817
(21.312482220372033, -157.86522831771532)",NORTH NIMITZ HIGHWAY,   ,HONOLULU,HAWAII,96817,  NICOLAS CHAIZE,,15184,Open,137 New and Renewal 1,Category 1,01/10/2012 12:00:00 AM,1,5,42,5,01/10/2014 12:00:00 AM
LA CUCINA,"IQ FACTORY, LLC",(808)381-7982,15185,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96813
(21.299794180619596, -157.85328553929313)",KAPIOLANI BOULEVARD ,C112,HONOLULU,HAWAII,96813,"MAHALANI CIRCLE
KANEOHE, HAWAII 96744
(21.416413073051995, -157.78844174372006)",MAHALANI CIRCLE ,   ,KANEOHE,HAWAII,96744,  DON M. TRUONG,,15185,Open,137 New and Renewal 1,Category 1,01/10/2012 12:00:00 AM,2,1,49,27,01/10/2014 12:00:00 AM
SHRIMP & BBQ,"FOODY FOODY, LLC",(808)223-9524,15186,"KEEAUMOKU STREET
HONOLULU, HAWAII 96814
(21.30222994923804, -157.83839704497115)",KEEAUMOKU STREET ,   ,HONOLULU,HAWAII,96814,"LUNALILO STREET
HONOLULU, HAWAII 96813
(21.3059891153205, -157.8516575482932)",LUNALILO STREET ,   ,HONOLULU,HAWAII,96813,  HEE YA PARK,,15186,Open,137 New and Renewal 2,Category 2,01/11/2012 12:00:00 AM,2,3,21,37,06/06/2013 12:00:00 AM
PARADISE SHRIMP & BURGER COMMISSARY,CURTIS HONG,(808)330-2541,15187,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,   ,HONOLULU,HAWAII,96815,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,   ,HONOLULU,HAWAII,96815,,,15187,Open,137 New and Renewal 3,Category 3,01/11/2012 12:00:00 AM,3,1,30,1,01/11/2014 12:00:00 AM
"YAKI YAKI MIWA, LLC","YAKI YAKI MIWA, LLC",(808)341-3443,15188,"SOUTH KING STREET
HONOLULU, HAWAII 96814
(21.30180917995799, -157.8494919318624)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96814,"SOUTH KING STREET
HONOLULU, HAWAII 96814
(21.30180917995799, -157.8494919318624)",SOUTH KING STREET,   ,HONOLULU,HAWAII,96814,,,15188,Open,137 New and Renewal 2,Category 2,01/10/2011 12:00:00 AM,2,3,18,11,01/10/2014 12:00:00 AM
"JAPAN AIRLINES CO., LTD.","JAPAN AIRLINES CO., LTD.",(808)831-4112,15189,"RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.337712389005517, -157.91834469135173)",RODGERS BOULEVARD ,   ,HONOLULU,HAWAII,96819,"RODGERS BOULEVARD
HONOLULU, HAWAII 96819
(21.337712389005517, -157.91834469135173)",RODGERS BOULEVARD ,21,HONOLULU,HAWAII,96819,,,15189,Open,137 New and Renewal 3,Category 3,01/09/2012 12:00:00 AM,1,1,3,1,01/09/2014 12:00:00 AM
CHEFMOBILE,"GAYLE R. SCHULTZ, LLC",(808)354-9361,15190,"ALA MOANA PARK DRIVE
HONOLULU, HAWAII 96814
(21.28787676965038, -157.84405378053543)",ALA MOANA PARK DRIVE ,  ,HONOLULU,HAWAII,96814,"HAMANA STREET
EWA BEACH, HAWAII 96706
(21.35419549856024, -158.02323512744698)",HAMANA STREET ,   ,EWA BEACH,HAWAII,96706,  GAYLE R. SCHULTZ,,15190,Open,137 New and Renewal 3,Category 3,01/10/2012 12:00:00 AM,2,3,32,1,"July 30"", ""2014"
SHOCHAN,"OKONOMI FACTORY, LLC",(808)375-3709,15191,"KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.273487832608467, -157.81652989273888)",KAPAHULU AVENUE ,203,HONOLULU,HAWAII,96815,"KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.273487832608467, -157.81652989273888)",KAPAHULU AVENUE ,203,HONOLULU,HAWAII,96815,,,15191,Open,137 New and Renewal 2,Category 2,01/10/2012 12:00:00 AM,3,1,22,4,01/10/2014 12:00:00 AM
RICH'S DAILY GRINDZ & SHAVED  ICE CO. (CART),SHEILA E. TURNER-SOUZA,(808)627-1200,15193,"SOUTH BERETANIA STREET
HONOLULU, HAWAII 96814
(21.303895186905667, -157.8493966033946)",SOUTH BERETANIA STREET,   ,HONOLULU,HAWAII,96814,"MILILANI, HAWAII 96789
(21.458460000228968, -158.010159999784)",,   ,MILILANI,HAWAII,96789,  SHEILA E. TURNER-SOUZA,894689,15193,Open,137 New and Renewal 3,Category 3,01/11/2012 12:00:00 AM,2,4,11,106,01/11/2014 12:00:00 AM
YAKITORI GLAD,"GLAD HAWAII CO., LTD.",(808)721-8712,15194,"KAPAHULU AVENUE
HONOLULU, HAWAII 96816
(21.287804823888052, -157.81283381628828)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96816,"KAPAHULU AVENUE
HONOLULU, HAWAII 96816
(21.287804823888052, -157.81283381628828)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96816,,,15194,Open,137 New and Renewal 1,Category 1,01/12/2012 12:00:00 AM,2,7,34,8,01/12/2014 12:00:00 AM
"ALOHA HARMONY TEA HOUSE, LLC","ALOHA HARMONY TEA HOUSE, LLC",(949)955-2759,15195,"LEWERS STREET
HONOLULU, HAWAII 96816
(21.284120000437838, -157.79823999997586)",LEWERS STREET ,W-109,HONOLULU,HAWAII,96816,"HONOLULU, HAWAII 96830
(21.280709999666897, -157.83173999980102)",,   ,HONOLULU,HAWAII,96830,,88266,15195,Open,137 New and Renewal 3,Category 3,01/12/2012 12:00:00 AM,2,6,30,60,01/12/2014 12:00:00 AM
LESLIE'S FLOWERS & GIFTS,LESLIE FUJIOKA,(808)342-8508,15196,"LILIHA STREET
HONOLULU, HAWAII 96819
(21.329776182995488, -157.84935078728802)",LILIHA STREET ,   ,HONOLULU,HAWAII,96819,"KALEILANI STREET
PEARL CITY, HAWAII 96782
(21.40322336763398, -157.9667942208491)",KALEILANI STREET ,   ,PEARL CITY,HAWAII,96782,,,15196,Open,137 New and Renewal 3,Category 3,01/13/2012 12:00:00 AM,1,8,18,3,01/13/2014 12:00:00 AM
LESLIE'S FLOWERS & GIFTS (KITCHEN),LESLIE FUJIOKA,(808)342-8508,15197,"LILIHA STREET
HONOLULU, HAWAII 96819
(21.329776182995488, -157.84935078728802)",LILIHA STREET ,   ,HONOLULU,HAWAII,96819,"KALEILANI STREET
PEARL CITY, HAWAII 96782
(21.40322336763398, -157.9667942208491)",KALEILANI STREET ,   ,PEARL CITY,HAWAII,96782,,,15197,Open,137 New and Renewal 2,Category 2,01/13/2012 12:00:00 AM,1,8,18,3,01/13/2014 12:00:00 AM
CHIM KEE 2 GO,ELIJAH YOUNG,(808)756-3018,15198,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96816,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,20D   ,HONOLULU,HAWAII,96815,  ELIJAH YOUNG,,15198,Open,137 New and Renewal 3,Category 3,01/12/2012 12:00:00 AM,3,2,6,2,01/12/2014 12:00:00 AM
CHIMKEE 2 GO KITCHEN,ELIJAH YOUNG,(808)756-3018,15199,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96816,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96815,  ELIJAH YOUNG,,15199,Open,137 New and Renewal 3,Category 3,01/12/2012 12:00:00 AM,3,2,6,2,01/12/2014 12:00:00 AM
LESLIE'S FLOWERS & GIFTS,LESLIE FUJIOKA,(808)342-8508,15201,"FORT WEAVER ROAD
EWA BEACH, HAWAII 96706
(21.375005900481945, -158.0263684600304)",FORT WEAVER ROAD,   ,EWA BEACH,HAWAII,96706,"KALEILANI STREET
PEARL CITY, HAWAII 96782
(21.40322336763398, -157.9667942208491)",KALEILANI STREET ,   ,PEARL CITY,HAWAII,96782,  LESLIE FUJIOKA,,15201,Open,137 New and Renewal 3,Category 3,01/07/2012 12:00:00 AM,9,1,17,85,01/17/2014 12:00:00 AM
MOCHA JAVA CAFE,"MAIA JUBE, INC.",(808)255-5427,15202,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,F-02,KANEOHE,HAWAII,96744,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,215,HONOLULU,HAWAII,96814,  LUZIA MAIA,,15202,Open,137 New and Renewal 3,Category 3,01/17/2012 12:00:00 AM,4,6,11,1,01/17/2014 12:00:00 AM
MARINE AGRIFUTURE,"MARINE AGRIFUTURE, LLC",(808)779-2885,15203,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,A,HONOLULU,HAWAII,96817,"KAHUKU, HAWAII 96731
(21.685190000418345, -157.97136999972557)",,   ,KAHUKU,HAWAII,96731,,423,15203,Open,137 New and Renewal 2,Category 2,01/17/2012 12:00:00 AM,1,5,6,36,01/17/2014 12:00:00 AM
MORNING GLASS COFFEE,"MORNING GLASS COFFEE, LLC",(808)673-0065,15204,"AUAHI STREET
HONOLULU, HAWAII 96813
(21.30002407312332, -157.8621656617677)",AUAHI STREET ,   ,HONOLULU,HAWAII,96813,"AUAHI STREET
HONOLULU, HAWAII 96813
(21.30002407312332, -157.8621656617677)",AUAHI STREET ,   ,HONOLULU,HAWAII,96813,,,15204,Open,137 New and Renewal 3,Category 3,01/19/2012 12:00:00 AM,2,1,55,6,01/19/2014 12:00:00 AM
KONA ICE OHANA,"KONA ICE OHANA, LLC",(808)679-5820,15205,"KEAHOLE STREET
HONOLULU, HAWAII 96825
(21.283078886624082, -157.71526636932953)",KEAHOLE STREET ,   ,HONOLULU,HAWAII,96825,"HAWAII KAI DRIVE
HONOLULU, HAWAII 96825
(21.296466687956464, -157.6895448019775)",HAWAII KAI DRIVE,704,HONOLULU,HAWAII,96825,  PAUL THORPE,,15205,Open,137 New and Renewal 3,Category 3,01/18/2012 12:00:00 AM,3,9,8,18,12/22/2013 12:00:00 AM
CEN PAC SUNDRIES,JEONGWON CHOE,(808)589-6381,15206,"SOUTH KING STREET
HONOLULU, HAWAII 96813
(21.31055008497322, -157.86281449117345)",SOUTH KING STREET,20   ,HONOLULU,HAWAII,96813,"SOUTH KING STREET
HONOLULU, HAWAII 96813
(21.31055008497322, -157.86281449117345)",SOUTH KING STREET,20,HONOLULU,HAWAII,96813,,,15206,Open,137 New and Renewal 3,Category 3,01/19/2012 12:00:00 AM,2,1,17,11,01/19/2014 12:00:00 AM
HAWAIIAN ISLANDS LUXURY YACHT CHARTERS,"BUILDING SERVICES CO., INC.",(808)780-4316,15207,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,SLIP D114  ,HONOLULU,HAWAII,96814,"SOUTH STREET
HONOLULU, HAWAII 96813
(21.299470495129054, -157.8630444570113)",SOUTH STREET,4501,HONOLULU,HAWAII,96813,  JOE CROFFORD,,15207,Open,137 New and Renewal 3,Category 3,01/19/2012 12:00:00 AM,2,1,58,128,01/19/2014 12:00:00 AM
XTREME TACOS,YOUSSEF DAKROUB,(808)954-5477,15208,"NORTH KING STREET
HONOLULU, HAWAII 96819
(21.336664771248305, -157.88300779490478)",NORTH KING STREET,   ,HONOLULU,HAWAII,96819,"KUKULA STREET
WAIPAHU, HAWAII 96797
(21.40401751325409, -158.01134619385854)",KUKULA STREET ,   ,WAIPAHU,HAWAII,96797,  YOUSSEF DAKROUB,,15208,Open,137 New and Renewal 3,Category 3,01/19/0212 12:00:00 AM,1,2,16,3,01/19/2014 12:00:00 AM
"XTREME TACOS, LLC",YOUSSEF DAKROUB,(808)954-5477,15209,"NORTH KING STREET
HONOLULU, HAWAII 96819
(21.336664771248305, -157.88300779490478)",NORTH KING STREET,   ,HONOLULU,HAWAII,96819,"KUKULA STREET
WAIPAHU, HAWAII 96797
(21.40401751325409, -158.01134619385854)",KUKULA STREET ,   ,WAIPAHU,HAWAII,96797,,,15209,Open,137 New and Renewal 2,Category 2,01/19/2012 12:00:00 AM,1,2,16,3,01/19/2014 12:00:00 AM
"SALVATION ARMY RAY & JOAN KROC CORPS COMMUNITY CENTER, THE",THE SALVATION ARMY RAY & JOAN KROC CORPS COMMUNITY CENTER,(808)682-5505,15210,"KUALAKAI PARKWAY
EWA BEACH, HAWAII 96706
(21.331110000026626, -158.01869000014324)",KUALAKAI PARKWAY ,   ,EWA BEACH,HAWAII,96706,"KUALAKAI PARKWAY
EWA BEACH, HAWAII 96706
(21.331110000026626, -158.01869000014324)",KUALAKAI PARKWAY ,   ,EWA BEACH,HAWAII,96706,,,15210,Open,137 New and Renewal 1,Category 1,01/23/2012 12:00:00 AM,9,1,17,105,01/23/2014 12:00:00 AM
PAPA CRUNCHY CRUNCHY (COMMISSARY),WILFREDO R. CALIEDO,(808)636-5891,15211,"LEOKU STREET
WAIPAHU, HAWAII 96797
(21.377940326708565, -158.02342611499094)",LEOKU STREET ,   ,WAIPAHU,HAWAII,96797,"ST JOHN'S ROAD
WAIANAE, HAWAII 96792
(21.433329999679927, -158.1768300002042)",ST JOHN'S ROAD,   ,WAIANAE,HAWAII,96792,,,15211,Open,137 New and Renewal 2,Category 2,01/23/2012 12:00:00 AM,9,4,47,27,01/23/2014 12:00:00 AM
SERINO'S PIZZA WAIKIKI,ECLIPSE RESTAURANT CORPORATION,(808)225-8007,15212,"KALAKAUA AVENUE UNIT
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE UNIT,118   ,HONOLULU,HAWAII,96815,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,352,HONOLULU,HAWAII,96815,  CHRISTIAN SERINO,,15212,Open,137 New and Renewal 2,Category 2,01/23/2012 12:00:00 AM,2,6,22,43,03/24/2013 12:00:00 AM
"BETH'S KITCHEN, LLC (LUNCHWAGON 661-TST)",JOSEPH JENKINS,(808)206-5542,15213,"LEOKU STREET
WAIPAHU, HAWAII 96797
(21.377940326708565, -158.02342611499094)",LEOKU STREET ,   ,WAIPAHU,HAWAII,96797,"LAUPAI PLACE
EWA BEACH, HAWAII 96706
(21.340873816837046, -158.0208604914958)",LAUPAI PLACE ,   ,EWA BEACH,HAWAII,96706,  JOSEPH JENKINS,,15213,Open,137 New and Renewal 2,Category 2,01/24/2012 12:00:00 AM,9,4,47,27,03/28/2013 12:00:00 AM
"BETH'S KITCHEN, LLC (COMMISSARY)",JOSEPH JENKINS,(808)206-5542,15214,"LEOKU STREET
WAIPAHU, HAWAII 96797
(21.377940326708565, -158.02342611499094)",LEOKU STREET ,   ,WAIPAHU,HAWAII,96797,"LAUPAI PLACE
EWA BEACH, HAWAII 96706
(21.340873816837046, -158.0208604914958)",LAUPAI PLACE ,   ,EWA BEACH,HAWAII,96706,  JOSEPH JENKINS,,15214,Open,137 New and Renewal 3,Category 3,01/19/2012 12:00:00 AM,9,4,47,27,01/19/2014 12:00:00 AM
"GENKI SUSHI USA, INC.","GENKI SUSHI USA, INC.",(808)523-3315,15215,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96814,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96813
(21.30452322041276, -157.8628675973884)",ALA MOANA BOULEVARD,612,HONOLULU,HAWAII,96813,,,15215,Open,137 New and Renewal 2,Category 2,01/24/2012 12:00:00 AM,2,3,38,1,01/24/2014 12:00:00 AM
KOREAN HIBISCUS BBQ,"MUGUNGHWA, LLC",(808)779-9094,15216,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,A9,HONOLULU,HAWAII,96816,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE,A9,HONOLULU,HAWAII,96816,,,15216,Open,137 New and Renewal 2,Category 2,01/25/2012 12:00:00 AM,3,2,2,4,01/25/2014 12:00:00 AM
MAKOTO SUSHI KAIMUKI,S & M LEE CORP.,,15217,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,130,HONOLULU,HAWAII,96816,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE,130,HONOLULU,HAWAII,96816,,,15217,Open,137 New and Renewal 2,Category 2,01/25/2012 12:00:00 AM,3,2,2,4,01/25/2014 12:00:00 AM
HONG'S MARKET,"HONG'S MARKET, LLC",,15218,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,3,HONOLULU,HAWAII,96816,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,3,HONOLULU,HAWAII,96816,,,15218,Open,137 New and Renewal 3,Category 3,01/25/2012 12:00:00 AM,3,2,1,33,03/15/2013 12:00:00 AM
"SALVATION ARMY RAY & JOAN KROC CORPS COMMUNITY CENTER PRESCHOOL, THE",THE SALVATION ARMY ROY & JOAN KROC CORPS COMMUNITY CENTER PRESCHOOL,(808)358-4741,15219,"KUALAKAI PARKWAY
EWA BEACH, HAWAII 96706
(21.331110000026626, -158.01869000014324)",KUALAKAI PARKWAY ,   ,EWA BEACH,HAWAII,96706,"KUALAKAI PARKWAY
EWA BEACH, HAWAII 96706
(21.331110000026626, -158.01869000014324)",KUALAKAI PARKWAY ,   ,EWA BEACH,HAWAII,96706,,,15219,Open,137 New and Renewal 3,Category 3,01/26/2012 12:00:00 AM,9,1,17,105,01/26/2014 12:00:00 AM
RASCALS FAMILY FUN CENTER,"GLEN PETERSON  ENTERPRISES, LLC",(925)525-5979,15220,"IWILEI ROAD
HONOLULU, HAWAII 96789
(21.458460000228968, -158.010159999784)",IWILEI ROAD ,   ,HONOLULU,HAWAII,96789,"KELAKELA STREET
MILILANI, HAWAII 96789
(21.47454195363769, -158.01289835438956)",KELAKELA STREET ,   ,MILILANI,HAWAII,96789,  GLEN PETERSON,,15220,Open,137 New and Renewal 3,Category 3,01/25/2012 12:00:00 AM,1,5,10,10,01/25/2014 12:00:00 AM
"MAGURO ZANMAI, LLC","MAGURO ZANMAI, LLC",(808)220-5100,15221,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96814,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96814,,,15221,Open,137 New and Renewal 2,Category 2,01/12/2012 12:00:00 AM,2,3,38,1,01/12/2014 12:00:00 AM
WAIANAE ICE HOUSE & DINER,VICTOR RAPOZA,(808)699-4246,15222,"FARRINGTON HIGHWAY
WAIANAE, HAWAII 96792
(21.550628469071547, -158.24337315456913)",FARRINGTON HIGHWAY ,   ,WAIANAE,HAWAII,96792,"FARRINGTON HIGHWAY
WAIANAE, HAWAII 96792
(21.550628469071547, -158.24337315456913)",FARRINGTON HIGHWAY ,   ,WAIANAE,HAWAII,96792,,,15222,Open,137 New and Renewal 1,Category 1,01/25/2012 12:00:00 AM,8,5,2,44,01/25/2014 12:00:00 AM
"STRODE MONTESSORI, INC.","STRODE MONTESSORI, INC.",(808)284-3882,15223,"NUUANU AVENUE
HONOLULU, HAWAII 96817
(21.310000091571197, -157.86425704992365)",NUUANU AVENUE ,E   ,HONOLULU,HAWAII,96817,"NUUANU AVENUE
HONOLULU, HAWAII 96817
(21.310000091571197, -157.86425704992365)",NUUANU AVENUE ,E   ,HONOLULU,HAWAII,96817,,,15223,Open,137 New and Renewal 3,Category 3,01/24/2012 12:00:00 AM,2,1,2,38,01/24/2014 12:00:00 AM
KANPAI BAR & GRILL,"GDFT, LLC",(808)382-8575,15224,"WARD AVENUE
HONOLULU, HAWAII 96814
(21.305525964475436, -157.84878871101972)",WARD AVENUE ,   ,HONOLULU,HAWAII,96814,"WARD AVENUE
HONOLULU, HAWAII 96814
(21.305525964475436, -157.84878871101972)",WARD AVENUE ,   ,HONOLULU,HAWAII,96814,,,15224,Open,137 New and Renewal 1,Category 1,01/24/2012 12:00:00 AM,2,1,50,62,01/24/2014 12:00:00 AM
ALOHA BOWLS (COMMISSARY),"ALOHA BOWLS, LLC",(808)306-8938,15225,"NORTH KING STREET
HONOLULU, HAWAII 96819
(21.336664771248305, -157.88300779490478)",NORTH KING STREET,   ,HONOLULU,HAWAII,96819,"PETER STREET
HONOLULU, HAWAII 96816
(21.301226537238573, -157.80116398066727)",PETER STREET ,   ,HONOLULU,HAWAII,96816,  KENNY LUM,,15225,Open,137 New and Renewal 3,Category 3,01/24/2012 12:00:00 AM,1,10,3,32,01/24/2014 12:00:00 AM
ALOHA BOWLS,"ALOHA BOWLS, LLC",(808)306-8938,15226,"NORTH KING STREET
HONOLULU, HAWAII 96819
(21.336664771248305, -157.88300779490478)",NORTH KING STREET,   ,HONOLULU,HAWAII,96819,"PETER STREET
HONOLULU, HAWAII 96816
(21.301226537238573, -157.80116398066727)",PETER STREET ,   ,HONOLULU,HAWAII,96816,  KENNY LUM,,15226,Open,137 New and Renewal 3,Category 3,01/24/2012 12:00:00 AM,1,6,3,32,01/24/2014 12:00:00 AM
SUSAN'S LUNCH WAGON,LUNG NGUYEN,,15227,"PUPUPANI STREET
WAIPAHU, HAWAII 96797
(21.38112731818697, -158.01745748370007)",PUPUPANI STREET ,   ,WAIPAHU,HAWAII,96797,"PUPUPANI STREET
WAIPAHU, HAWAII 96797
(21.38112731818697, -158.01745748370007)",PUPUPANI STREET ,102,WAIPAHU,HAWAII,96797,,,15227,Open,137 New and Renewal 3,Category 3,01/25/2012 12:00:00 AM,9,4,27,3,01/25/2014 12:00:00 AM
BOMBUCHA'Z (KITCHEN),SHANE KALAOLA,(808)864-8357,15228,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,"LANIKEHA PLACE
PEARL CITY, HAWAII 96782
(21.41394345366426, -157.96360279118272)",LANIKEHA PLACE ,   ,PEARL CITY,HAWAII,96782,  RENEE NAKAHASHI,,15228,Open,137 New and Renewal 3,Category 3,01/27/2012 12:00:00 AM,4,5,19,10,01/27/2014 12:00:00 AM
